title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
"TODAY'S TOP5 TRENDING VIDEOS ON YOUTUBE 17-07-2017, 15:00HRS IST 10,022,578 views",KZ8ckalyKc0,38,0,1,0,0
School Love whatsapp status video | Most trending whatsapp status |priya prakash varrier,6qljlD-DakU,1165,21,0,0,0
Trending videos... Smartness overloaded,of8lMTqzy08,2,0,0,0,0
How YouTube's Trending Tab Works,GZmGmkOJ9ME,44732,534,140,132,0
REACTING TO TRENDING VIDEOS,zaNUe8VCJYU,141,25,0,4,0
TOP 5 TRENDING VIDEOS,3KzCvrHnPlg,669,54,0,4,0
Watch the top trending videos of the week,bNtotJ2RT-Q,16903,13,9,4,0
TRENDING VIDEOS OF THE WEEK JUNE 2017 #TRYNOTOLAUGHCHALLENGE - HILARIOUS VINES,ek14kp84Z7M,6341,84,8,8,0
Pinoy Trending Videos - Boy Landi (Drew Olivar) - Pabebe dance craze,gw0LBqaXDpI,2542,20,4,3,0
Funny WhatsApp Video @Trending Videos-----latest Funny Videos --whatsapp naughty,42r1yYWUi9A,2791,5,1,0,0
Filipino Laughtrip Compilation - Stupid and Funny People - Filipino Vines - Pinoy Trending Videos,H-vcqZfqP34,160656,249,48,3,0
Listen to Kim Domingo sing in Videoke trending videos,2asqCtarMV4,8408,31,4,9,0
ALL THESE  EDITED TRENDING VIDEOS...,AkZ6kY_gnRQ,901,13,3,3,0
"Pinoy Trending Videos - Boy Landi (Drew Olivar) - Okrayan ng mga bakla, bi, trans etc",p7g3iyVFfKs,4709,20,1,2,0
Poland Girl and Guntur Boy Marriage FULL VIDEO | Indians Marrying Foreigners | Trending Videos,ldhkQgkGXHc,10538,60,11,13,0
TOP TRENDING VIDEOS ||  MOST WATCHED VIDEOS IN THE WORLD ||,7E4_uQntOr0,147,20,0,58,0
TOP TRENDING VIDEOS FOR DIABETES - #Orangehealth #DiabetesCareCulb,nUlkrxUzqXY,1956,51,6,4,0
How(Trick) to get my video on YouTube Trending (Hindi/Urdu)- OFFICIAL,jmy93tjtN8s,1365,23,14,2,0
Trending videos,9TqETXv3Mw0,67,4,0,1,0
title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
Pinoy Trending Videos - Boy Landi (Drew Olivar) - My 1st Gwiyomi Version,YvZa5Cmr-AA,11736,37,4,4,0
HOW TO MAKE TRENDING VIDEOS FOR YOUTUBE,uKf9rVONtUE,389,3,5,0,0
Trending Videos of the Week - July Week 4 | Digital Minds,QGZDkX830Uo,8441,16,3,2,0
Trending Videos of the Week - July Week 5 | Digital Minds,SuC8nc0qy68,8467,16,3,1,0
Pinoy Trending Videos - Boy Landi (Drew Olivar) - Ito na mga teh Flashlight nanaman,qZywRzrnsY4,100685,505,37,124,0
Grabe! Dami ko tawa dito   Trending Pinoy Videos   Facebook,ZUVhv7V07XA,1939307,2623,450,176,0
trending videos in facebook,2qcrOXofZxQ,2973,10,3,0,0
Pinoy Trending Videos - Boy Landi (Drew Olivar) - Hoy jessica soho,536_0s-kQzg,8633,54,4,2,0
Pinoy Trending Videos  Filipino Vines  Filipino Laughtrip Compilation  Stupid and Funny People,dNY_42m7h4o,34605,89,10,3,0
Top 5 Trending Video | Video Jukebox | Punjabi Songs Collection | Speed Records,14L1DZ917t0,200304,516,72,18,0
Top Trending Videos on YouTube | Popular Videos 2017,2kSmsAM0iCI,1257,0,2,0,0
Pinoy Trending Videos - Boy Landi (Drew Olivar) - JOWA PA MORE,XQX8GmH1D-A,7074,58,2,13,0
Pinoy Trending Videos - Boy Landi (Drew Olivar) - Boy Landi Pabebe,vKuq-lbxs3M,22636,105,7,11,0
Pinoy Trending Videos - Boy Landi (Drew Olivar) - BOY GIRL BAKLA charice,xQqkzHZAAXg,7461,37,3,2,0
title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
AGSM - The secret world of animated doll videos on YouTube - BBC Trending,ua5bW2MQRFE,59103,1175,16,414,0
TOP TRENDING videos of PRESIDENT DONALD TRUMP THAT GOES VIRAL IN 2017,WFO5yFp6W9Q,104,4,0,2,0
How To Watch Other Country Trending Videos ?? Explained ....,Cc7mhmeKUJk,157,1,1,0,0
USA Top 5 Trending Videos on YouTube || viral videos,x-IoPjsodrI,191,3,0,0,0
"ivvi - The app to see, save and share trending videos",WWqFbWOHSMQ,1031,2,1,0,0
Discover Trending Videos via YouTube Trending tab | lfydywht l'kthr sh`by@ | Zui moRen Qi noaruDong Hua  | zaffron,Biqy9NPm5Mk,333,28,0,36,0
Trending videos with a little humor,OFkC3jsBxfM,543,0,1,0,0
(Weird Trending Videos #1)BBC WORKER WATCHES INAPPROPRIATE VIDEO *Live*,MXj3w37JMAg,2289,25,0,8,0
Funniest Trending Videos On YouTube!,IMRbxCSL3vw,282,11,1,3,0
TOP 10   Today's Trending videos on YouTube,-qCrwLtljfY,116,0,0,0,0
Shruti Haasan Hot Sexy Wardrobe  | Trending videos,MX0hiao8Vj0,2126,2,1,0,0
SHOPLIFTER (Pinoy Trending Viral Videos),idPrVpJ67c8,22319,6,6,1,0
Alia Bhatt Hot Workout Latest Video - Trending videos,FvumBtNlFhA,901,0,2,1,0
